loan_id,origination_SeriousDlqin2yrs,origination_RevolvingUtilizationOfUnsecuredLines,origination_age,origination_NumberOfTime30-59DaysPastDueNotWorse,origination_DebtRatio,origination_MonthlyIncome,origination_NumberOfOpenCreditLinesAndLoans,origination_NumberOfTimes90DaysLate,origination_NumberRealEstateLoansOrLines,origination_NumberOfTime60-89DaysPastDueNotWorse,origination_NumberOfDependents,origination_origination_PD,current_SeriousDlqin2yrs,current_RevolvingUtilizationOfUnsecuredLines,current_age,current_NumberOfTime30-59DaysPastDueNotWorse,current_DebtRatio,current_MonthlyIncome,current_NumberOfOpenCreditLinesAndLoans,current_NumberOfTimes90DaysLate,current_NumberRealEstateLoansOrLines,current_NumberOfTime60-89DaysPastDueNotWorse,current_NumberOfDependents,current_origination_PD,current_trajectory,current_current_PD,pd_origin,pd_current,product_type,security_status,collateral_type,balance,ead,eir,remaining_lifetime_months,lgd_category,lgd,default_status
11,0,0.005455228,81,0,0.479004666,4500.0,17,0,2,0,0.0,0.0832721,0,0.005607896497639612,83,0.0,0.38975950896014416,5039.2986907439945,17.0,0.0,2.0,0.0,0.0,0.0832721,improving,0.1932425,0.0832721,0.1932425,credit_card,unsecured,,5037.130507078754,5037.130507078754,0.1998474167741798,13,LGD_CREDIT_CARD,0.55,0
12,1,0.419627554,63,1,0.438756124,10000.0,13,1,2,0,0.0,0.74749106,1,0.2841184292863667,65,0.0,0.3815446619905416,11225.993156291512,13.0,1.0,2.0,0.0,0.0,0.74749106,improving,0.6739809,0.74749106,0.6739809,auto_loan,secured,vehicle,23068.194362896687,23068.194362896687,0.06545943759875611,56,LGD_AUTO,0.25,0
13,0,0.004136176,41,0,0.472323285,7695.0,9,0,2,0,0.0,0.12037429,0,0.004689591116730621,43,2.0,0.4942219970863785,7459.327847269761,9.0,1.0,2.0,1.0,0.0,0.12037429,deteriorating,0.113504045,0.12037429,0.113504045,auto_loan,secured,vehicle,21909.051706636874,21909.051706636874,0.07679647806514381,67,LGD_AUTO,0.25,0
14,0,0.795932437,25,1,0.037756802,1800.0,3,0,0,0,0.0,0.74733734,0,0.920545319953088,27,2.0,0.03701839628732378,1860.491609222039,3.0,1.0,0.0,0.0,0.0,0.74733734,deteriorating,0.7123054,0.74733734,0.7123054,credit_card,unsecured,,1689.9985290785676,1689.9985290785676,0.1897978432962127,12,LGD_CREDIT_CARD,0.55,1
15,0,0.066611829,34,0,0.206383489,8333.0,5,0,1,0,0.0,0.09080967,0,0.07125311795236222,36,1.0,0.21625432893035132,7727.556703413178,5.0,1.0,1.0,0.0,0.0,0.09080967,deteriorating,0.062162098,0.09080967,0.062162098,credit_card,unsecured,,1374.9432485050752,1374.9432485050752,0.20143043729287546,6,LGD_CREDIT_CARD,0.55,0
16,0,0.291630852,45,1,0.554770789,7503.0,17,0,4,0,0.0,0.61517924,0,0.3261802820770809,47,1.0,0.5816796210634261,7887.442091896052,17.0,0.0,4.0,0.0,0.0,0.61517924,stable,0.5743355,0.61517924,0.5743355,credit_card,unsecured,,3787.4012940311827,3787.4012940311827,0.164193291506062,27,LGD_CREDIT_CARD,0.55,1
17,0,0.822400231,63,0,0.515793683,2500.0,12,0,0,0,0.0,0.5830555,0,0.8580884484917571,65,0.0,0.51947334936078,2669.732652672146,12.0,0.0,0.0,0.0,0.0,0.5830555,stable,0.51582587,0.5830555,0.51582587,credit_card,unsecured,,7063.0183987288365,7063.0183987288365,0.19659907153156053,10,LGD_CREDIT_CARD,0.55,1
18,0,0.032074198,57,0,0.548886738,3098.0,8,0,1,0,0.0,0.13967393,0,0.033580415715620794,59,0.0,0.564786947119598,3171.8740878158733,8.0,0.0,1.0,0.0,0.0,0.13967393,stable,0.48652366,0.13967393,0.48652366,credit_card,unsecured,,5211.76460410411,5211.76460410411,0.2118209003469644,20,LGD_CREDIT_CARD,0.55,1
19,0,0.604395604,36,0,0.710350955,2250.0,18,0,0,0,0.0,0.6745544,0,0.4378278607104994,38,1.0,0.7011344842470503,2556.8309970224827,18.0,0.0,0.0,0.0,0.0,0.6745544,improving,0.6156372,0.6745544,0.6156372,credit_card,unsecured,,6843.00102058599,6843.00102058599,0.16481251451529608,34,LGD_CREDIT_CARD,0.55,1
20,0,0.9999999,53,0,0.0,1333.0,0,0,0,0,0.0,0.7521238,0,1.0,55,0.0,0.0,1449.6613449201755,0.0,0.0,0.0,0.0,0.0,0.7521238,stable,0.6318756,0.7521238,0.6318756,credit_card,unsecured,,9990.32307295731,9990.32307295731,0.17742347965876215,6,LGD_CREDIT_CARD,0.55,0
21,0,0.004755344,62,0,0.402355776,7470.0,10,0,3,0,2.0,0.14314766,0,0.005284239438764835,64,1.0,0.3913693159347672,7026.450159980555,10.0,0.0,3.0,1.0,2.0,0.14314766,deteriorating,0.11172226,0.14314766,0.11172226,credit_card,unsecured,,4616.710255079382,4616.710255079382,0.19890831377841248,17,LGD_CREDIT_CARD,0.55,0
22,0,0.9999999,71,0,0.0,8000.0,0,0,0,0,0.0,0.3981395,0,1.0,73,0.0,0.0,7414.4196105992605,0.0,1.0,0.0,0.0,0.0,0.3981395,deteriorating,0.41770512,0.3981395,0.41770512,credit_card,unsecured,,1698.9515520602392,1698.9515520602392,0.18987416039311966,29,LGD_CREDIT_CARD,0.55,0
23,1,0.762408771,39,0,0.529433543,2700.0,6,0,0,0,4.0,0.6000622,1,0.7063565529955713,41,0.0,0.4577231852273511,3183.405007058224,6.0,0.0,0.0,0.0,4.0,0.6000622,improving,0.6136399,0.6000622,0.6136399,credit_card,unsecured,,7140.20934188063,7140.20934188063,0.18721004379153888,2,LGD_CREDIT_CARD,0.55,0
24,0,0.047997333,57,0,0.260353469,7581.0,4,0,1,0,1.0,0.056542665,0,0.04443627498405461,59,0.0,0.27167072270704073,7475.19588592112,4.0,0.0,1.0,0.0,1.0,0.056542665,stable,0.1888434,0.056542665,0.1888434,credit_card,unsecured,,3720.6279750427793,3720.6279750427793,0.22265030451905016,9,LGD_CREDIT_CARD,0.55,1
25,1,0.787511231,48,2,1.554174067,1688.0,6,1,1,1,3.0,0.9503983,1,0.6417585418729167,50,1.0,1.3888765584943585,1845.834426894686,6.0,1.0,1.0,1.0,3.0,0.9503983,improving,0.9473026,0.9503983,0.9473026,credit_card,unsecured,,2145.515097040978,2145.515097040978,0.18707905754209547,30,LGD_CREDIT_CARD,0.55,1
26,0,0.072853674,84,0,0.017301038,2600.0,4,0,0,0,1.0,0.06393017,0,0.07719556601525057,86,0.0,0.016820107372608275,2779.0804847038435,4.0,0.0,0.0,0.0,1.0,0.06393017,stable,0.056433715,0.06393017,0.056433715,credit_card,unsecured,,1473.6609761008651,1473.6609761008651,0.20540373597890768,4,LGD_CREDIT_CARD,0.55,0
27,0,0.478023726,43,0,0.162941961,5995.0,3,1,1,0,2.0,0.73401767,0,0.462206473452146,45,0.0,0.16823549189138204,6324.562731981069,3.0,1.0,1.0,0.0,2.0,0.73401767,stable,0.63659936,0.73401767,0.63659936,credit_card,unsecured,,7870.276508750025,7870.276508750025,0.17722495443503,4,LGD_CREDIT_CARD,0.55,1
28,0,0.063982976,72,0,0.036049682,3300.0,4,0,0,0,1.0,0.08378311,0,0.06508188096474656,74,0.0,0.038246776179291314,3452.1769814126233,4.0,0.0,0.0,0.0,1.0,0.08378311,stable,0.2940674,0.08378311,0.2940674,credit_card,unsecured,,21467.239638744602,21467.239638744602,0.21392991098816017,14,LGD_CREDIT_CARD,0.55,0
29,0,0.098284692,30,0,0.450387051,1420.0,7,0,0,0,0.0,0.2072317,0,0.10837769409076678,32,0.0,0.4501014313056687,1532.179672392603,7.0,0.0,0.0,0.0,0.0,0.2072317,stable,0.19453025,0.2072317,0.19453025,credit_card,unsecured,,8248.176861962043,8248.176861962043,0.2080051041294107,27,LGD_CREDIT_CARD,0.55,0
30,0,0.188430487,47,0,0.429893438,7131.0,5,0,1,0,2.0,0.18430237,0,0.19812958251433058,49,1.0,0.4281394988060099,6581.699645176029,5.0,0.0,1.0,0.0,2.0,0.18430237,deteriorating,0.14691062,0.18430237,0.14691062,credit_card,unsecured,,5953.922509650949,5953.922509650949,0.17891729080451169,11,LGD_CREDIT_CARD,0.55,0
31,0,0.0,55,0,0.0,6900.0,2,0,0,0,0.0,0.08918108,0,0.0,57,0.0,0.0,7683.2811023936665,2.0,0.0,0.0,0.0,0.0,0.08918108,stable,0.09193733,0.08918108,0.09193733,mortgage,secured,real_estate,488085.76621571224,488085.76621571224,0.0604832926434602,125,LGD_MORTGAGE,0.1,0
32,0,0.779088729,52,0,0.258882342,5600.0,9,0,1,0,0.0,0.47827092,0,0.801772098629914,54,0.0,0.2466648954124702,6351.9612453736945,9.0,0.0,1.0,0.0,0.0,0.47827092,stable,0.34726435,0.47827092,0.34726435,mortgage,secured,real_estate,325073.0472335261,325073.0472335261,0.06445190082854675,192,LGD_MORTGAGE,0.1,0
33,0,0.969549289,57,0,0.598955392,7083.0,24,0,2,0,1.0,0.5124716,0,1.0,59,0.0,0.5656215994289451,7468.659063001295,24.0,0.0,2.0,0.0,1.0,0.5124716,stable,0.7968661,0.5124716,0.7968661,credit_card,unsecured,,13223.53679011648,13223.53679011648,0.16883938836445686,20,LGD_CREDIT_CARD,0.55,1
34,0,0.142738779,47,0,0.367907261,4916.0,8,0,1,0,2.0,0.15574618,0,0.13940902361985713,49,0.0,0.3574250445003471,4892.443400747621,8.0,0.0,1.0,0.0,2.0,0.15574618,stable,0.15423313,0.15574618,0.15423313,credit_card,unsecured,,2357.5764757851075,2357.5764757851075,0.19237612205295465,26,LGD_CREDIT_CARD,0.55,0
35,0,0.0,53,0,0.188540573,20000.0,16,0,2,0,4.0,0.096742004,0,0.0,55,0.0,0.19112564414074035,19416.957669545303,16.0,0.0,2.0,0.0,4.0,0.096742004,deteriorating,0.089207776,0.096742004,0.089207776,auto_loan,secured,vehicle,21420.486586142895,21420.486586142895,0.0654324613435321,58,LGD_AUTO,0.25,0
36,0,0.0,71,0,0.423326134,3703.0,13,0,1,0,0.0,0.07375358,0,0.0,73,0.0,0.4088678660973828,4406.7080733394905,13.0,0.0,1.0,0.0,0.0,0.07375358,improving,0.06882313,0.07375358,0.06882313,credit_card,unsecured,,6709.097460539419,6709.097460539419,0.1950024811927009,30,LGD_CREDIT_CARD,0.55,0
37,0,0.078049835,45,0,0.569960023,1750.0,10,0,2,0,0.0,0.23528768,0,0.0785940104645395,47,0.0,0.5268080590181238,1878.1478406238764,10.0,0.0,2.0,0.0,0.0,0.23528768,stable,0.2502779,0.23528768,0.2502779,credit_card,unsecured,,7068.027143907167,7068.027143907167,0.19001216161117399,12,LGD_CREDIT_CARD,0.55,0
38,0,0.727946115,57,0,0.272429309,18000.0,8,0,2,0,4.0,0.25368,0,0.6452550421024089,59,0.0,0.27726493056341245,17788.560148286662,8.0,0.0,2.0,0.0,4.0,0.25368,stable,0.12095547,0.25368,0.12095547,credit_card,unsecured,,4986.386733452636,4986.386733452636,0.17267806172160355,18,LGD_CREDIT_CARD,0.55,0
39,0,0.076211301,49,0,0.205577612,10326.0,7,0,1,0,1.0,0.056080986,0,0.07848693812207487,51,0.0,0.21426329741653052,11116.521909117773,7.0,0.0,1.0,0.0,1.0,0.056080986,stable,0.05807142,0.056080986,0.05807142,credit_card,unsecured,,9797.819542003986,9797.819542003986,0.18260013970679725,10,LGD_CREDIT_CARD,0.55,0
40,0,0.9999999,34,0,3210.0,0.0,2,0,1,0,2.0,0.24666868,0,0.9863757757455016,36,0.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,0.24666868,stable,0.34988782,0.24666868,0.34988782,credit_card,unsecured,,4011.653254750856,4011.653254750856,0.18936111164606065,34,LGD_CREDIT_CARD,0.55,0
41,0,0.989400353,51,0,0.87424362,3800.0,6,0,2,0,0.0,0.6037117,0,0.9219588071221404,53,0.0,0.8617688395798121,3818.886991363615,6.0,0.0,2.0,0.0,0.0,0.6037117,stable,0.5575414,0.6037117,0.5575414,credit_card,unsecured,,2830.1319713935873,2830.1319713935873,0.18420081897847368,6,LGD_CREDIT_CARD,0.55,0
42,0,0.023256695,67,0,0.005346294,4114.0,4,0,0,0,0.0,0.027285276,0,0.02354523623516937,69,0.0,0.004520052636260083,4883.121958428814,4.0,0.0,0.0,0.0,0.0,0.027285276,improving,0.013458326,0.027285276,0.013458326,credit_card,unsecured,,6677.77934951313,6677.77934951313,0.18036865731064372,10,LGD_CREDIT_CARD,0.55,0
43,0,0.206618815,42,0,0.390540776,5750.0,8,0,2,0,3.0,0.14180505,0,0.2221013772767089,44,0.0,0.3874385324759064,6048.509832274737,8.0,0.0,2.0,0.0,3.0,0.14180505,stable,0.19805513,0.14180505,0.19805513,credit_card,unsecured,,2379.7583559116742,2379.7583559116742,0.17543455058079455,5,LGD_CREDIT_CARD,0.55,0
44,0,0.023899403,58,0,0.119847812,4730.0,4,0,0,0,1.0,0.04859981,0,0.0218747063991975,60,0.0,0.1202952194030844,4461.600764488961,4.0,0.0,0.0,0.0,1.0,0.04859981,deteriorating,0.04723543,0.04859981,0.04723543,credit_card,unsecured,,5528.995652396747,5528.995652396747,0.18482465905285905,25,LGD_CREDIT_CARD,0.55,0
45,0,0.250974903,33,0,0.061297685,3066.0,4,0,0,0,0.0,0.25418577,0,0.2543532184319247,35,0.0,0.06031299731139464,3363.2779820768023,4.0,0.0,0.0,0.0,0.0,0.25418577,stable,0.20261261,0.25418577,0.20261261,credit_card,unsecured,,2913.1423825258034,2913.1423825258034,0.1712838865520317,36,LGD_CREDIT_CARD,0.55,1
46,0,0.375968651,60,0,0.275497572,10500.0,14,0,2,0,0.0,0.21085258,0,0.40919974537384335,62,0.0,0.3031016155490605,10519.862651145757,14.0,1.0,2.0,0.0,0.0,0.21085258,deteriorating,0.2000067,0.21085258,0.2000067,credit_card,unsecured,,3497.546792376903,3497.546792376903,0.2008193192231575,29,LGD_CREDIT_CARD,0.55,0
47,0,0.228519196,40,0,0.175637394,6000.0,8,0,0,0,0.0,0.1589896,0,0.17848787710584976,42,0.0,0.16724817814722395,7046.661784927086,8.0,0.0,0.0,0.0,0.0,0.1589896,improving,0.17162196,0.1589896,0.17162196,auto_loan,secured,vehicle,30484.035692592402,30484.035692592402,0.05680412669510137,42,LGD_AUTO,0.25,0
48,0,0.033461782,44,0,1.243362832,4067.0,5,0,2,0,1.0,0.20224592,0,0.035870122145144304,46,1.0,1.322793511286855,4193.523870851696,5.0,0.0,2.0,0.0,1.0,0.20224592,deteriorating,0.69767916,0.20224592,0.69767916,credit_card,unsecured,,5207.46343248492,5207.46343248492,0.1982974609089539,4,LGD_CREDIT_CARD,0.55,0
49,0,0.17727829,65,0,0.02413417,7333.0,2,0,0,0,0.0,0.105340004,0,0.18029149833352182,67,0.0,0.023323890234805907,7677.056726337746,2.0,0.0,0.0,0.0,0.0,0.105340004,stable,0.092822045,0.105340004,0.092822045,auto_loan,secured,vehicle,32474.28077011035,32474.28077011035,0.06903535296476475,55,LGD_AUTO,0.25,0
50,0,0.064647345,65,0,0.393034826,200.0,4,0,0,0,0.0,0.10676853,0,0.07047194749486328,67,1.0,0.41992757266772995,192.03987126017122,4.0,0.0,0.0,0.0,0.0,0.10676853,deteriorating,0.707265,0.10676853,0.707265,credit_card,unsecured,,1241.3017428836665,1241.3017428836665,0.185663971439231,17,LGD_CREDIT_CARD,0.55,1
51,0,0.110994158,85,0,0.026076159,2415.0,1,0,0,0,0.0,0.03952261,0,0.11141923853206744,87,0.0,0.026748793581125474,2705.0941311381857,1.0,0.0,0.0,0.0,0.0,0.03952261,stable,0.04605118,0.03952261,0.04605118,credit_card,unsecured,,8248.21892578509,8248.21892578509,0.20350882046758195,6,LGD_CREDIT_CARD,0.55,0
52,0,0.151233951,63,1,0.064693197,5100.0,7,0,0,0,1.0,0.4298808,0,0.1417315131376329,65,1.0,0.058484264512908,6241.36005724242,7.0,0.0,0.0,0.0,1.0,0.4298808,improving,0.5802723,0.4298808,0.5802723,credit_card,unsecured,,7903.3522857403495,7903.3522857403495,0.17835719842541423,23,LGD_CREDIT_CARD,0.55,0
53,0,0.246042779,70,0,0.318729785,3400.0,7,0,0,0,0.0,0.17425643,0,0.22736859408964621,72,0.0,0.3180880809697648,3549.1096407841947,7.0,0.0,0.0,0.0,0.0,0.17425643,stable,0.19466226,0.17425643,0.19466226,credit_card,unsecured,,7027.131869058776,7027.131869058776,0.21306501536381442,3,LGD_CREDIT_CARD,0.55,0
54,0,0.740293974,28,0,0.681751179,6783.0,9,0,1,0,0.0,0.511774,0,0.5631698843323043,30,0.0,0.6031336496425249,8300.726856627543,9.0,0.0,1.0,0.0,0.0,0.511774,improving,0.49371564,0.511774,0.49371564,credit_card,unsecured,,8187.159318410491,8187.159318410491,0.19693088192036584,34,LGD_CREDIT_CARD,0.55,0
55,0,4.23e-05,51,0,0.06587473,8333.0,7,0,0,0,1.0,0.15046641,0,3.276857915530982e-05,53,0.0,0.06127221879399312,9515.585500569718,7.0,0.0,0.0,0.0,1.0,0.15046641,improving,0.6793548,0.15046641,0.6793548,credit_card,unsecured,,6454.159894916058,6454.159894916058,0.20754120603569837,24,LGD_CREDIT_CARD,0.55,0
56,0,0.200448239,57,1,0.289618397,6000.0,15,0,2,0,0.0,0.4052475,0,0.20937659630205027,59,1.0,0.3036332672903786,6304.5948202758245,15.0,0.0,2.0,0.0,0.0,0.4052475,stable,0.4029984,0.4052475,0.4029984,auto_loan,secured,vehicle,40628.47141606516,40628.47141606516,0.06996014872615797,52,LGD_AUTO,0.25,0
57,0,0.417553954,62,0,0.466055446,4580.0,11,0,1,0,1.0,0.2734576,0,0.41918231071366324,64,0.0,0.4489240779346537,4710.797622553004,11.0,0.0,1.0,0.0,1.0,0.2734576,stable,0.22271536,0.2734576,0.22271536,credit_card,unsecured,,2879.0988911545387,2879.0988911545387,0.18977185067532107,18,LGD_CREDIT_CARD,0.55,0
58,0,0.11045178,63,0,0.311815713,11416.0,20,0,1,1,1.0,0.401461,0,0.12579951415920695,65,1.0,0.30961302119891915,9891.41704654559,20.0,0.0,1.0,1.0,1.0,0.401461,deteriorating,0.49315107,0.401461,0.49315107,mortgage,secured,real_estate,302811.9079473544,302811.9079473544,0.0540136691848508,200,LGD_MORTGAGE,0.1,0
59,0,0.661195142,59,0,0.709907014,8710.0,20,0,5,0,0.0,0.66039026,0,0.6955310980913625,61,0.0,0.7055560512126166,9229.429238287996,20.0,0.0,5.0,0.0,0.0,0.66039026,stable,0.83502346,0.66039026,0.83502346,credit_card,unsecured,,8718.779031598275,8718.779031598275,0.19894059747397871,51,LGD_CREDIT_CARD,0.55,0
60,0,0.138601336,46,0,0.641245358,3500.0,23,0,2,0,0.0,0.25518078,0,0.12765157547478267,48,0.0,0.6282068052618318,3513.4533970763755,23.0,0.0,2.0,0.0,0.0,0.25518078,stable,0.38640335,0.25518078,0.38640335,credit_card,unsecured,,6175.4746123065,6175.4746123065,0.1940168769049509,27,LGD_CREDIT_CARD,0.55,0
61,0,0.10603311,60,0,0.139124058,15000.0,7,0,1,0,0.0,0.039284315,0,0.10534361794698703,62,0.0,0.13081028476992282,16021.53940439532,7.0,0.0,1.0,0.0,0.0,0.039284315,stable,0.15516071,0.039284315,0.15516071,mortgage,secured,real_estate,200723.08495180673,200723.08495180673,0.05932133849740589,263,LGD_MORTGAGE,0.1,0
62,0,0.840257721,33,1,0.561643836,2700.0,8,0,0,0,0.0,0.7463882,0,0.8614927351467698,35,1.0,0.5531867562379733,2786.2336359733226,8.0,0.0,0.0,0.0,0.0,0.7463882,stable,0.7142895,0.7463882,0.7142895,credit_card,unsecured,,10210.060858679002,10210.060858679002,0.22452590361259983,48,LGD_CREDIT_CARD,0.55,1
63,0,0.429343707,73,0,0.335827216,7083.0,23,0,0,0,0.0,0.30930555,0,0.3832582686076491,75,0.0,0.2594000440722366,8507.38130634034,23.0,0.0,0.0,0.0,0.0,0.30930555,improving,0.15766945,0.30930555,0.15766945,credit_card,unsecured,,4628.4374549688,4628.4374549688,0.17266397609391904,8,LGD_CREDIT_CARD,0.55,1
64,0,0.000212721,57,0,0.165278241,3000.0,4,0,0,0,2.0,0.20902659,0,0.00014278426369315238,59,0.0,0.13856348519081976,3664.437504168115,4.0,0.0,0.0,0.0,2.0,0.20902659,improving,0.18318594,0.20902659,0.18318594,credit_card,unsecured,,10470.515721346723,10470.515721346723,0.19654419047291694,20,LGD_CREDIT_CARD,0.55,0
65,0,0.008246998,52,0,0.363145096,3700.0,3,0,1,0,2.0,0.086176,0,0.007052354925129482,54,0.0,0.3460295394178123,4279.367494385928,3.0,0.0,1.0,0.0,2.0,0.086176,improving,0.09001354,0.086176,0.09001354,credit_card,unsecured,,9070.531366209476,9070.531366209476,0.1990769368276771,14,LGD_CREDIT_CARD,0.55,0
66,1,0.0,60,3,0.292697378,6750.0,5,1,1,2,0.0,0.94320786,1,0.0,62,3.0,0.24163051522744278,7703.497834114572,5.0,1.0,1.0,2.0,0.0,0.94320786,improving,0.9482037,0.94320786,0.9482037,auto_loan,secured,vehicle,20491.37518758482,20491.37518758482,0.06366587255045662,43,LGD_AUTO,0.25,1
67,0,0.012461753,54,0,0.222196691,4351.0,11,0,1,0,0.0,0.13295646,0,0.014013583389877134,56,0.0,0.2535783116400155,4417.678677013801,11.0,1.0,1.0,0.0,0.0,0.13295646,deteriorating,0.1173596,0.13295646,0.1173596,mortgage,secured,real_estate,540940.8145739969,540940.8145739969,0.05623558650443676,157,LGD_MORTGAGE,0.1,0
68,0,0.07087744,58,0,0.275158248,7740.0,18,0,1,0,0.0,0.20092104,0,0.07140295966976162,60,0.0,0.26868601602326814,8041.142407428547,18.0,0.0,1.0,0.0,0.0,0.20092104,stable,0.10821666,0.20092104,0.10821666,auto_loan,secured,vehicle,44557.792886050374,44557.792886050374,0.06468282486092819,41,LGD_AUTO,0.25,1
69,0,0.02966865,53,0,0.305562676,3900.0,15,0,1,1,0.0,0.4692259,0,0.030331905884069834,55,0.0,0.29684507088945894,4185.333186440653,15.0,0.0,1.0,1.0,0.0,0.4692259,stable,0.5293965,0.4692259,0.5293965,credit_card,unsecured,,6418.226907025131,6418.226907025131,0.1920177368266653,33,LGD_CREDIT_CARD,0.55,0
70,0,0.9999999,34,0,1.810841984,2600.0,7,0,2,0,0.0,0.59834397,0,1.0,36,0.0,1.6929233550854355,2777.564395088597,7.0,0.0,2.0,0.0,0.0,0.59834397,stable,0.5592847,0.59834397,0.5592847,credit_card,unsecured,,9623.900738552718,9623.900738552718,0.1840455523462959,14,LGD_CREDIT_CARD,0.55,0
71,0,0.053967137,68,1,0.74690124,2500.0,9,0,1,0,0.0,0.34865654,0,0.057177233755997,70,1.0,0.7839098752823022,2504.617309013779,9.0,0.0,1.0,0.0,0.0,0.34865654,stable,0.15357491,0.34865654,0.15357491,credit_card,unsecured,,3710.485808753306,3710.485808753306,0.2127452098531054,6,LGD_CREDIT_CARD,0.55,0
72,0,0.9999999,47,0,0.757432255,3800.0,2,1,0,3,2.0,0.95601356,0,0.8723828273279072,49,0.0,0.655880785073945,4551.559717249926,2.0,1.0,0.0,3.0,2.0,0.95601356,improving,0.92127025,0.95601356,0.92127025,credit_card,unsecured,,3633.3692859686585,3633.3692859686585,0.20216601378228294,23,LGD_CREDIT_CARD,0.55,1
