SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,trajectory
0,0.02335161353995182,66,1.0,0.24444408704617,17176.214649439968,28.0,0.0,2.0,0.0,1.0,stable
0,0.03340567359468728,59,0.0,0.5703087493550371,3371.151640795431,8.0,0.0,1.0,1.0,0.0,stable
0,0.7243344466215335,39,1.0,162.72614260236236,1.0144614134506467,3.0,1.0,0.0,0.0,0.0,stable
0,0.5405499011008623,38,0.0,0.6776095037936716,2234.2388033309717,18.0,0.0,0.0,0.0,0.0,improving
0,0.6523134569115934,55,0.0,0.0,1404.6186442828591,0.0,0.0,0.0,0.0,0.0,improving
0,0.14860274580698096,55,1.0,0.4643572834427622,5959.616674114945,12.0,1.0,1.0,0.0,1.0,deteriorating
0,0.0048331553932383,64,0.0,0.39157309080844,7647.579353207676,10.0,0.0,3.0,0.0,2.0,stable
0,0.0,32,0.0,0.0,2114.973952049217,3.0,0.0,0.0,0.0,0.0,stable
0,0.9880882025163635,73,1.0,0.0,8054.465950230766,0.0,0.0,0.0,0.0,0.0,stable
0,0.8842853522223816,71,0.0,0.42196383250978436,8013.449367093212,8.0,0.0,2.0,1.0,0.0,stable
1,0.7073858058281854,41,0.0,0.54537143780855,2734.6196788935717,6.0,0.0,0.0,0.0,4.0,stable
0,0.04636546253558783,59,1.0,0.2754108044105424,7621.739080688308,4.0,0.0,1.0,0.0,1.0,stable
1,0.7930274202792472,50,2.0,1.621048389684049,1734.960582385158,6.0,1.0,1.0,1.0,3.0,stable
0,0.09213091158372089,53,0.0,0.1507496142343396,10105.456199153907,9.0,0.0,1.0,1.0,1.0,improving
0,0.07072670115041224,86,0.0,0.016911819631697148,2801.6619089652763,4.0,0.0,0.0,0.0,1.0,stable
0,0.03894917470443473,67,0.0,1.1660500610212141,4362.512947583291,11.0,0.0,4.0,0.0,0.0,improving
0,0.43597020369392586,45,0.0,0.14493411539080944,6765.622492789781,3.0,1.0,1.0,0.0,2.0,improving
0,0.06440923268466099,74,1.0,0.03627373291762661,3393.057006250987,4.0,0.0,0.0,0.0,1.0,stable
0,0.08015489109755396,32,0.0,0.43908929768365274,1701.9169999584008,7.0,0.0,0.0,0.0,0.0,improving
0,0.1695651009658477,49,0.0,0.3831891374068663,8134.6400689630655,5.0,0.0,1.0,0.0,2.0,improving
0,0.0,57,0.0,0.0,7534.992295658177,2.0,0.0,0.0,0.0,0.0,stable
0,0.0,57,0.0,0.6092115988647885,4182.269033870559,7.0,1.0,1.0,0.0,0.0,stable
0,0.6484685099638308,54,0.0,0.24122049179473137,6423.4128195659005,9.0,0.0,1.0,0.0,0.0,improving
0,0.9297464909433691,59,0.0,0.6034449868633897,7273.98855705508,24.0,0.0,2.0,1.0,1.0,stable
0,0.13615321510259812,49,0.0,0.34630418745215835,4920.710295311776,8.0,0.0,1.0,0.0,2.0,stable
0,0.0,55,0.0,0.18069429343764376,20945.991167211956,16.0,0.0,2.0,0.0,4.0,stable
0,0.0,73,0.0,0.35676615077973706,4643.471889324702,13.0,0.0,1.0,0.0,0.0,improving
0,0.0,35,0.0,0.4092945158295937,3861.2727079910537,11.0,0.0,1.0,0.0,0.0,improving
0,0.07371607655718793,47,0.0,0.49061634343334565,1999.1172269070346,10.0,0.0,2.0,0.0,0.0,improving
0,0.19112655343549242,49,0.0,0.22571169437775063,13830.045387463611,5.0,0.0,1.0,0.0,5.0,improving
0,0.6891797242239243,59,0.0,0.3017379721652388,17849.356004229114,8.0,0.0,2.0,0.0,4.0,stable
0,0.08237144206293774,51,0.0,0.22101744225276226,10517.133297888207,7.0,0.0,1.0,0.0,1.0,stable
0,1.0,36,0.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,stable
0,0.9233505168679237,53,0.0,0.8863590801688257,3921.602582232365,6.0,0.0,2.0,0.0,0.0,stable
0,0.023423494141861123,69,0.0,0.004797269216942917,4630.985882176555,4.0,0.0,0.0,0.0,0.0,improving
0,0.2206158777172441,44,0.0,0.4262075168269153,5985.514246531778,8.0,0.0,2.0,0.0,3.0,stable
0,0.0,36,0.0,0.32266942141104854,6494.84018285431,10.0,0.0,0.0,0.0,2.0,stable
0,0.019542589349664043,60,0.0,0.1007688322443033,5261.856465174321,4.0,0.0,0.0,0.0,1.0,improving
0,0.010034711018250968,68,0.0,0.0789137384374125,9833.81920153237,5.0,0.0,0.0,0.0,2.0,improving
0,0.22726444127391388,35,0.0,0.060738636208580346,3052.7248242602136,4.0,0.0,0.0,0.0,0.0,stable
0,0.38207226717937726,62,0.0,0.27178727622873894,10875.83880816507,14.0,0.0,2.0,0.0,0.0,stable
0,0.9948336076812733,33,1.0,0.23321373692122407,5096.226001908109,10.0,0.0,0.0,0.0,2.0,stable
0,0.23602478117160608,42,0.0,0.17488507107816065,6112.255938714319,8.0,0.0,0.0,0.0,0.0,stable
0,0.03351658202612259,46,0.0,1.2564639214153521,4325.909188767447,5.0,0.0,2.0,1.0,1.0,stable
0,0.18562950735578973,67,0.0,0.02439530269417165,7253.473239730783,2.0,0.0,0.0,0.0,0.0,stable
0,0.04622954132374055,51,0.0,1.088965758425125,4364.948229310416,16.0,0.0,2.0,0.0,2.0,stable
0,0.08051584569036399,67,1.0,0.40544946812194976,196.92640586474957,4.0,1.0,0.0,0.0,0.0,deteriorating
0,0.1067093278333775,87,0.0,0.02733683639788923,2541.1272779790143,1.0,0.0,0.0,0.0,0.0,stable
0,0.14623561107871405,65,2.0,0.06121590041430499,5584.462877366392,7.0,0.0,0.0,0.0,1.0,stable
0,0.23896639476462642,72,0.0,0.3225042645266314,3525.20852794382,7.0,0.0,0.0,0.0,0.0,stable
0,0.7163030186361943,30,0.0,0.7173164273916743,6954.513279566834,9.0,0.0,1.0,0.0,0.0,stable
0,0.02007227190775048,77,0.0,0.005951084657787475,3327.352174023754,10.0,0.0,0.0,0.0,0.0,improving
0,4.181049421192747e-05,53,0.0,0.06483268389980565,9363.214057200903,7.0,0.0,0.0,1.0,1.0,stable
1,0.845261919585212,61,0.0,1.0786821502937127,3325.1812128988026,9.0,0.0,2.0,0.0,1.0,improving
1,0.7681302092528474,37,0.0,0.07769754485302822,8002.227840414717,1.0,2.0,0.0,1.0,3.0,improving
0,0.20211801648869857,59,1.0,0.28105003462332034,6550.81021038275,15.0,0.0,2.0,0.0,0.0,stable
0,0.7409571965154963,24,0.0,0.011321248621648869,572.6556499456768,0.0,0.0,0.0,0.0,0.0,improving
0,0.0030513112965275435,62,0.0,0.0008606356933791644,7846.136329333937,7.0,0.0,0.0,0.0,2.0,stable
0,0.4325873595095022,64,0.0,0.4570133969654953,4951.969939059872,11.0,0.0,1.0,0.0,1.0,stable
0,0.9997105545069663,30,0.0,0.2874852442260402,3304.4651394004063,5.0,0.0,0.0,0.0,0.0,stable
0,0.18012439175439582,62,0.0,0.38069180658015545,9514.066860493309,15.0,0.0,1.0,0.0,1.0,improving
0,0.11217004140998003,65,1.0,0.3288725046154094,11983.972167978982,20.0,0.0,1.0,1.0,1.0,stable
0,0.18355587377150145,36,1.0,0.42485585304829515,5329.0530138383365,8.0,0.0,1.0,0.0,4.0,stable
0,0.0,60,0.0,0.1382319197193162,3738.5314083285966,6.0,0.0,1.0,0.0,0.0,stable
0,0.6561761656346827,61,0.0,0.6630203602095714,8918.197943540305,20.0,1.0,5.0,0.0,0.0,stable
0,0.15426201784635343,48,0.0,0.5727888583720091,4219.989168668547,23.0,0.0,2.0,0.0,0.0,improving
0,0.09952770027984054,62,1.0,0.13454859264274086,16326.814897387996,7.0,0.0,1.0,0.0,0.0,stable
0,0.7281963317279674,35,1.0,0.5792198590877005,2915.9905951787346,8.0,0.0,0.0,0.0,0.0,stable
0,0.0,45,1.0,0.0,2455.4901847004367,8.0,0.0,0.0,0.0,1.0,stable
0,0.2912868804661179,75,0.0,0.31888559526075366,8320.892924015343,23.0,0.0,0.0,0.0,0.0,improving
0,0.0,52,0.0,0.0,1273.322901578632,4.0,0.0,0.0,0.0,0.0,stable
0,0.00019891961751186292,59,0.0,0.16080087559254677,3198.911646650596,4.0,0.0,0.0,0.0,2.0,stable
0,0.00787402724225406,54,0.0,0.3977636263512503,3955.353662382302,3.0,0.0,1.0,0.0,2.0,stable
0,0.06978741419692766,69,1.0,0.30952258960856727,6091.5448737304505,13.0,0.0,2.0,0.0,3.0,deteriorating
0,0.5703788875274558,39,1.0,0.3674469139380385,6568.730799135614,10.0,0.0,1.0,1.0,2.0,deteriorating
0,0.013400288247489206,66,0.0,0.10527986455039962,4461.885280377417,10.0,0.0,1.0,0.0,0.0,improving
0,0.0,27,1.0,0.06004217008722754,2079.1430205817046,2.0,0.0,0.0,0.0,0.0,stable
1,0.0,62,4.0,0.3130585055394419,6994.107027967575,5.0,1.0,1.0,2.0,0.0,deteriorating
0,0.011749675875826912,56,0.0,0.24177296934339462,4437.3983498971975,11.0,0.0,1.0,0.0,0.0,improving
0,0.10828657941717745,38,0.0,0.4230319605911233,3980.4444054793594,8.0,0.0,2.0,0.0,1.0,improving
0,0.07652832829358208,60,0.0,0.2891196546316757,8153.848937245361,18.0,0.0,1.0,0.0,0.0,stable
1,0.9833146892673293,44,0.0,1.2616362150814546,4111.218148729133,29.0,1.0,2.0,1.0,3.0,stable
0,0.0285118380049718,55,0.0,0.32497456111622475,4174.008876115244,15.0,0.0,1.0,1.0,0.0,stable
0,1.0,36,0.0,1.9197593820049823,2671.8010855743914,7.0,0.0,2.0,0.0,0.0,deteriorating
0,0.05404025814222373,70,0.0,0.7071878194148228,2645.9742433357496,9.0,0.0,1.0,0.0,0.0,stable
0,0.9898745169060827,49,0.0,0.7864320292569329,3782.7549222604366,2.0,0.0,0.0,3.0,2.0,stable
0,0.03503640428812074,83,0.0,0.017651539470865073,4689.246152846437,6.0,0.0,0.0,0.0,0.0,stable
0,0.30582777974463216,61,0.0,0.585942729298035,5231.079817651114,20.0,0.0,3.0,0.0,3.0,stable
1,0.6808507444245435,48,0.0,0.4793195646129939,6039.897024444028,7.0,0.0,1.0,0.0,2.0,stable
0,0.009651954664542406,48,0.0,0.019212992204676187,2988.9278066583206,7.0,1.0,0.0,0.0,0.0,deteriorating
0,0.48565253136552355,61,0.0,0.49376977213579637,9741.494331793372,19.0,0.0,1.0,0.0,0.0,improving
0,0.35730678471487487,44,0.0,0.4033018190913224,4902.785539753674,7.0,0.0,1.0,0.0,1.0,improving
0,0.018695778560747542,58,0.0,0.06511093106477882,6039.36518800523,19.0,0.0,1.0,0.0,0.0,stable
0,0.0,58,1.0,0.4703551815147905,11264.910770479992,8.0,0.0,2.0,0.0,2.0,improving
0,1.0,53,0.0,0.3203962707764653,10182.89371940265,9.0,0.0,2.0,0.0,1.0,stable
0,0.007371290458186298,60,0.0,0.20279147862748184,6178.099966599943,10.0,0.0,1.0,0.0,1.0,improving
0,0.7779509292545366,32,0.0,11.968415975500324,203.75938871427982,9.0,0.0,2.0,0.0,0.0,stable
0,0.06785286859788274,55,0.0,0.1781591850086875,5349.309602604559,13.0,0.0,1.0,0.0,0.0,stable
0,0.04459819348227443,43,1.0,0.4508174533565986,2153.165712265845,3.0,1.0,1.0,1.0,0.0,stable
0,0.0,55,0.0,0.3624952401702109,5498.246087572417,12.0,0.0,2.0,0.0,2.0,stable
0,0.7993079934481082,68,0.0,0.10244642239431972,4536.562934907081,12.0,0.0,0.0,0.0,0.0,stable
0,0.42760077629338933,47,0.0,0.36592885184081203,4049.442720218206,8.0,0.0,1.0,0.0,0.0,stable
0,0.8710892304475201,33,0.0,0.16264599027935153,3724.6496162959775,2.0,0.0,0.0,0.0,0.0,stable
0,0.2150883985033979,55,0.0,1.2140898069078387,4155.530719688602,12.0,0.0,2.0,1.0,0.0,stable
0,0.034696644277042436,67,0.0,0.22849280314750708,3915.313385650056,10.0,0.0,0.0,0.0,1.0,stable
0,0.14814155813695945,50,0.0,0.6760964189460165,4465.283983618846,7.0,0.0,1.0,0.0,2.0,deteriorating
0,1.0,69,0.0,0.34515762017412954,16918.61569434298,9.0,0.0,3.0,0.0,0.0,stable
0,0.3515109403967531,69,1.0,0.1023073521069145,2697.6443100891584,2.0,0.0,0.0,0.0,0.0,stable
0,0.10625669915680983,61,0.0,0.2511942008491934,7053.20257247691,17.0,0.0,2.0,0.0,1.0,stable
0,0.0,61,0.0,0.03431237144136531,11192.416436656733,9.0,0.0,0.0,1.0,0.0,stable
0,0.7650576830197862,64,0.0,0.4226167129563126,6314.81177146354,6.0,1.0,1.0,1.0,3.0,deteriorating
0,0.040562289344044315,44,0.0,0.25986129177998296,7789.633067270152,13.0,0.0,2.0,0.0,3.0,stable
0,0.0028323507703213045,76,0.0,0.8922542707347456,3599.1343860166703,4.0,0.0,0.0,0.0,0.0,improving
0,0.39311331780923203,57,0.0,0.12274799730390568,10558.362800309878,6.0,0.0,1.0,0.0,1.0,stable
0,0.0,43,2.0,0.2698086189527215,21730.680104160383,12.0,0.0,1.0,2.0,5.0,stable
1,0.20821647871603233,63,0.0,0.5908099227102923,3978.9838188276317,10.0,0.0,2.0,0.0,0.0,stable
0,0.0300887643015641,39,0.0,0.5444053844861111,4842.826167953612,10.0,0.0,2.0,1.0,0.0,deteriorating
0,0.5088030952011103,41,0.0,0.3146662852530944,8213.597413635984,13.0,0.0,1.0,1.0,1.0,stable
0,0.0,53,0.0,0.33987853942921453,7362.30191448631,7.0,0.0,1.0,0.0,0.0,stable
0,0.016439307937897808,59,1.0,0.23262321448612783,12388.794352341101,24.0,0.0,1.0,0.0,2.0,stable
0,0.012554830890563107,76,1.0,0.035865515220168405,3506.5870713775503,9.0,0.0,0.0,0.0,1.0,stable
0,0.29010463805771625,66,0.0,0.261812385518981,20584.942829894546,12.0,0.0,2.0,0.0,0.0,stable
0,0.04332005666173918,31,1.0,0.3262222634977977,7179.915615558898,12.0,0.0,1.0,0.0,0.0,stable
0,0.010422944481482637,88,0.0,0.19503857043698855,1890.5667509954455,10.0,0.0,1.0,0.0,0.0,stable
0,0.16574241129842396,35,0.0,0.3134319834965815,2658.751115826955,10.0,0.0,1.0,0.0,1.0,improving
0,0.03349126866358415,68,0.0,0.414946465511395,2864.1091186053973,8.0,1.0,1.0,0.0,0.0,deteriorating
0,0.0022052403357866847,66,0.0,0.14368749830675914,14779.363350484355,17.0,0.0,1.0,1.0,0.0,stable
0,0.033994353839418706,67,0.0,0.12187932274717254,12671.231651490041,4.0,0.0,1.0,1.0,1.0,stable
1,0.9151696075475044,43,5.0,0.28849793587849126,7597.497081109921,10.0,2.0,0.0,0.0,3.0,stable
0,0.8887226464313752,67,0.0,0.4503314300951548,21306.59800891319,20.0,0.0,3.0,0.0,1.0,improving
0,0.0744141849899419,29,1.0,0.20447961508350027,3009.944345298808,3.0,3.0,0.0,1.0,0.0,stable
0,0.22228385676267085,34,0.0,0.07465250612740984,31237.41062935204,10.0,0.0,1.0,0.0,3.0,improving
1,0.707424747575924,64,0.0,0.385982307233771,5196.0404913114735,15.0,0.0,1.0,0.0,3.0,improving
0,0.29689670657730366,63,0.0,0.0011836408599033648,5734.7634184806075,4.0,0.0,0.0,0.0,1.0,improving
0,0.1593245533506843,67,0.0,0.005155960058089398,78376.82672036043,4.0,0.0,0.0,0.0,1.0,stable
0,0.30162322937921043,54,1.0,0.09904097329516763,1926.7904279862066,7.0,0.0,0.0,0.0,0.0,deteriorating
0,0.4543258837413018,44,1.0,0.16841332979731763,5066.715747644099,9.0,0.0,0.0,0.0,0.0,stable
0,0.049334150604385535,54,0.0,0.14421997318422086,12647.464564420943,11.0,0.0,2.0,0.0,0.0,stable
0,0.017156270802443672,60,0.0,0.09619854509622153,5299.870154187355,9.0,0.0,0.0,0.0,0.0,stable
0,0.754027322917016,31,2.0,0.3022107894357921,4551.974836332553,7.0,2.0,0.0,0.0,0.0,stable
0,0.0,37,0.0,0.2709841009025765,9561.186863373367,7.0,0.0,1.0,0.0,1.0,improving
0,0.0,28,0.0,0.35858248397789483,1031.6223198617593,2.0,0.0,0.0,0.0,0.0,improving
0,0.7551157496822035,64,0.0,0.12895632685765188,2277.6419063195244,8.0,0.0,0.0,0.0,0.0,stable
0,0.7111774981827113,70,0.0,0.1516846360191861,9084.613461985206,9.0,0.0,0.0,1.0,1.0,deteriorating
0,0.012800918591340459,58,0.0,0.0007452350018596567,6847.325337131917,3.0,0.0,0.0,0.0,0.0,stable
0,0.7919536783537731,56,0.0,0.8943447886743424,3652.21973205285,20.0,3.0,2.0,1.0,1.0,stable
0,0.23943149838700692,57,0.0,0.13883867840312367,3175.2494692283262,7.0,1.0,0.0,0.0,0.0,stable
0,1.0,51,0.0,0.13466643125818417,8376.067021100735,4.0,1.0,0.0,1.0,1.0,deteriorating
0,0.8727779540750371,31,0.0,0.30362570296207214,2055.4065268813647,4.0,0.0,0.0,0.0,0.0,stable
0,0.027340190075225097,65,0.0,0.007868751028868786,4978.122069394651,7.0,0.0,0.0,0.0,0.0,stable
0,1.0,52,1.0,0.15226729847045836,4795.035568422229,4.0,1.0,0.0,0.0,1.0,stable
0,0.050266661705341505,53,2.0,0.11815393794588944,39771.42794660429,11.0,0.0,2.0,1.0,2.0,deteriorating
0,0.11337413970429841,54,1.0,0.3515331524904081,9993.73221804693,13.0,0.0,1.0,1.0,0.0,deteriorating
0,0.7927904173661965,53,1.0,0.3502379880323925,6455.936466127166,16.0,0.0,0.0,0.0,0.0,improving
0,1.0,73,0.0,0.5194191759824178,8924.903517725566,4.0,0.0,2.0,0.0,0.0,deteriorating
0,0.18772733807503086,45,1.0,0.5603210388057073,8892.770502526444,11.0,0.0,3.0,1.0,2.0,deteriorating
0,0.5807302007712799,44,0.0,0.040340634331648924,4016.9254309192324,4.0,0.0,0.0,1.0,4.0,stable
0,0.10471764377279043,60,0.0,0.23578905115539334,10123.16475152018,26.0,0.0,2.0,0.0,0.0,stable
0,0.056893489785772265,61,0.0,0.24433612759397688,6899.57705290303,18.0,0.0,1.0,0.0,3.0,improving
0,0.26188996392105707,80,0.0,0.4228374790945497,6373.777798562152,6.0,0.0,1.0,0.0,0.0,improving
0,0.013436750451126711,69,1.0,0.4728350408613881,4111.349194411434,6.0,0.0,1.0,0.0,0.0,stable
0,0.08468100102013304,73,0.0,1.00676206656265,2760.235672465626,18.0,1.0,2.0,1.0,0.0,stable
0,0.020376080424033893,60,0.0,0.08365360133248745,5110.529728792862,8.0,0.0,0.0,0.0,2.0,improving
0,0.8712691327974807,45,1.0,0.730286893120856,4128.891044050473,6.0,0.0,1.0,0.0,2.0,stable
0,0.00790641787830176,42,1.0,0.32413401667748787,9522.995781574691,11.0,0.0,2.0,0.0,2.0,deteriorating
0,0.11802845866137629,58,0.0,0.5086565826996986,4643.612287537126,16.0,1.0,2.0,0.0,1.0,stable
0,0.02879521594857689,50,0.0,0.24986108126800957,6965.788065855386,7.0,0.0,1.0,0.0,1.0,stable
0,0.17066186449314263,47,2.0,1.09051909473788,2630.0517383383553,11.0,0.0,1.0,0.0,2.0,improving
0,0.9095888162977591,51,1.0,1.1074762731251384,3833.5181831219998,5.0,0.0,1.0,0.0,2.0,stable
1,0.24265823006490134,31,2.0,4.0,0.0,17.0,0.0,9.0,0.0,1.0,stable
0,0.023925940266528792,41,1.0,0.569073913559484,4963.191951517237,6.0,0.0,3.0,0.0,2.0,stable
0,0.04781053074854195,56,0.0,0.0023199697389886115,7549.3830890212685,3.0,0.0,0.0,0.0,0.0,deteriorating
0,0.6376920458652919,42,1.0,0.04243151546071983,51106.88986185713,11.0,0.0,2.0,0.0,0.0,stable
0,0.003245866798812478,59,0.0,0.22386218641899205,5591.843859923077,2.0,0.0,1.0,0.0,1.0,stable
0,0.2499097077513512,51,0.0,0.3795205247995679,9631.92320096369,24.0,0.0,2.0,0.0,2.0,improving
0,0.5227247763453641,50,0.0,0.7660301081205361,6518.113682515603,19.0,1.0,1.0,0.0,1.0,deteriorating
0,0.0026100245528471616,42,0.0,0.6108357969622367,949.4867238262324,12.0,0.0,0.0,0.0,0.0,stable
0,0.17754942104515045,62,1.0,0.14213288953057124,20902.262440111997,12.0,0.0,2.0,0.0,0.0,stable
0,0.17906579330782227,52,0.0,0.8584919112158387,6912.220282871706,21.0,0.0,4.0,0.0,0.0,stable
0,0.11165562981146142,52,0.0,0.49120537128729735,7327.795641835921,20.0,0.0,2.0,0.0,2.0,stable
0,0.05559576657715942,40,0.0,0.4161400870665473,6693.750918604221,12.0,0.0,1.0,0.0,3.0,stable
0,0.03320398972752174,34,0.0,0.1306857006445282,9455.37698007132,5.0,0.0,1.0,0.0,2.0,improving
0,0.006827345618361457,89,0.0,0.006016464768896194,1065.249171943122,10.0,0.0,0.0,1.0,0.0,stable
0,0.03718857003855729,81,0.0,0.006348196626609771,8866.860117512619,3.0,0.0,0.0,0.0,0.0,stable
0,0.11856777932569534,43,0.0,0.05036421375347111,13815.844134743655,5.0,0.0,0.0,0.0,2.0,improving
0,0.17989143378231062,56,0.0,0.644247036628123,3607.5566656628134,7.0,0.0,1.0,0.0,1.0,stable
0,0.5600790359062685,40,0.0,0.8307289701960275,3306.1871531946927,7.0,0.0,2.0,0.0,1.0,stable
0,0.05316324049547592,59,0.0,0.47570653622489817,7808.612604778187,9.0,0.0,3.0,0.0,1.0,improving
0,0.325839156372592,54,0.0,0.26482087762306233,6340.636820541235,3.0,0.0,1.0,0.0,0.0,improving
0,0.2724940060954265,41,0.0,0.3570742460296679,7094.799733346494,15.0,0.0,2.0,0.0,0.0,improving
1,0.5192847446378378,43,5.0,1.4009592711828491,3001.025764493721,10.0,1.0,2.0,0.0,3.0,stable
0,0.343015372184505,43,0.0,0.6573599566674835,3274.052638651852,3.0,0.0,2.0,0.0,0.0,stable
0,0.0,32,2.0,0.7049366051527766,4673.526135775566,13.0,0.0,2.0,0.0,0.0,deteriorating
0,0.1068208468504942,82,0.0,0.11984795150234505,2827.2519821955584,2.0,0.0,0.0,0.0,0.0,stable
0,0.0,58,0.0,0.7433958963195455,3543.9692861877934,12.0,0.0,1.0,0.0,1.0,stable
0,0.031607364847362276,71,0.0,0.5408562683524064,6813.029751765294,10.0,0.0,1.0,0.0,0.0,stable
0,0.021543383905561604,43,0.0,0.5109112679333561,11891.518103619414,10.0,0.0,3.0,0.0,0.0,improving
0,0.05201011288141652,66,0.0,0.3178287500996323,7088.306335621272,13.0,1.0,3.0,0.0,0.0,deteriorating
0,0.26261451568926575,75,0.0,0.6466166642792756,693.6406148673105,8.0,0.0,1.0,0.0,0.0,stable
0,0.5322225077071665,33,0.0,0.1613689719113329,2382.577347176926,7.0,0.0,0.0,0.0,0.0,deteriorating
0,0.1280461251856969,30,0.0,0.468549953101373,5306.098357338762,5.0,0.0,2.0,1.0,0.0,stable
0,0.7849147089490605,47,0.0,0.5347211041159564,2039.902920166891,8.0,0.0,0.0,0.0,3.0,stable
0,0.07238883563799273,95,0.0,0.02740127601810241,4848.327103909497,2.0,0.0,0.0,0.0,0.0,improving
0,0.03919061165533071,59,0.0,0.20688541155679577,16090.528756976493,22.0,0.0,2.0,0.0,0.0,stable
0,0.6321294347454977,66,1.0,0.27408074508709507,10572.556036866627,11.0,1.0,1.0,1.0,0.0,stable
0,0.7644786306981854,39,0.0,0.6130435230615994,1849.453544783658,18.0,0.0,0.0,0.0,3.0,stable
0,0.3738782892528313,51,0.0,0.2141893521504115,5212.9791695433505,8.0,0.0,0.0,1.0,2.0,deteriorating
0,0.3520148984343113,47,1.0,0.2831711204329632,6828.039505732865,7.0,0.0,1.0,0.0,3.0,stable
0,0.16156825579249456,53,0.0,0.5856423848314154,8608.563186776217,12.0,0.0,1.0,0.0,1.0,deteriorating
0,0.07935237516836903,62,1.0,0.09319840285089856,16752.830641091125,14.0,0.0,1.0,0.0,0.0,improving
0,0.8619196605686407,28,0.0,0.42397248237801416,1648.9243445528095,11.0,1.0,0.0,0.0,0.0,stable
0,0.17758687726541952,29,0.0,0.17135968099188129,7000.840094248613,10.0,0.0,0.0,0.0,1.0,improving
0,0.0259426702883905,25,1.0,0.006657340250575761,857.5826482484326,4.0,0.0,0.0,0.0,0.0,stable
0,0.15607795975832778,37,0.0,0.016415076979087045,1639.3420640086313,2.0,0.0,0.0,0.0,0.0,stable
0,0.6927762237310436,56,0.0,4.689487090256481,10150.232260177916,35.0,0.0,2.0,0.0,0.0,improving
